... building the model
... training
p=0.700000
epoch 173, minibatch 3296/3296, validation error 15.013661 %
epoch 174, minibatch 3296/3296, validation error 15.218579 %
epoch 175, minibatch 3296/3296, validation error 14.986339 %
epoch 176, minibatch 3296/3296, validation error 15.245902 %
epoch 177, minibatch 3296/3296, validation error 15.081967 %
epoch 178, minibatch 3296/3296, validation error 15.286885 %
epoch 179, minibatch 3296/3296, validation error 14.617486 %
epoch 180, minibatch 3296/3296, validation error 15.601093 %
epoch 181, minibatch 3296/3296, validation error 14.795082 %
epoch 182, minibatch 3296/3296, validation error 14.795082 %
epoch 183, minibatch 3296/3296, validation error 15.068306 %
epoch 184, minibatch 3296/3296, validation error 15.177596 %
epoch 185, minibatch 3296/3296, validation error 14.658470 %
epoch 186, minibatch 3296/3296, validation error 14.726776 %
epoch 187, minibatch 3296/3296, validation error 14.931694 %
epoch 188, minibatch 3296/3296, validation error 15.778689 %
epoch 189, minibatch 3296/3296, validation error 14.508197 %
epoch 190, minibatch 3296/3296, validation error 15.027322 %
epoch 191, minibatch 3296/3296, validation error 14.795082 %
epoch 192, minibatch 3296/3296, validation error 15.027322 %
epoch 193, minibatch 3296/3296, validation error 15.081967 %
epoch 194, minibatch 3296/3296, validation error 15.396175 %
epoch 195, minibatch 3296/3296, validation error 15.081967 %
epoch 196, minibatch 3296/3296, validation error 14.904372 %
epoch 197, minibatch 3296/3296, validation error 14.904372 %
epoch 198, minibatch 3296/3296, validation error 14.959016 %
epoch 199, minibatch 3296/3296, validation error 14.767760 %
epoch 200, minibatch 3296/3296, validation error 15.423497 %
epoch 201, minibatch 3296/3296, validation error 14.617486 %
epoch 202, minibatch 3296/3296, validation error 14.467213 %
epoch 203, minibatch 3296/3296, validation error 15.273224 %
epoch 204, minibatch 3296/3296, validation error 14.781421 %
epoch 205, minibatch 3296/3296, validation error 14.808743 %
epoch 206, minibatch 3296/3296, validation error 15.150273 %
epoch 207, minibatch 3296/3296, validation error 14.781421 %
epoch 208, minibatch 3296/3296, validation error 14.959016 %
epoch 209, minibatch 3296/3296, validation error 14.726776 %
epoch 210, minibatch 3296/3296, validation error 14.808743 %
epoch 211, minibatch 3296/3296, validation error 14.849727 %
epoch 212, minibatch 3296/3296, validation error 14.658470 %
epoch 213, minibatch 3296/3296, validation error 15.628415 %
epoch 214, minibatch 3296/3296, validation error 14.767760 %
epoch 215, minibatch 3296/3296, validation error 14.371585 %
     epoch 215, minibatch 3296/3296, test error of best model 15.810915 %
epoch 216, minibatch 3296/3296, validation error 14.754098 %
epoch 217, minibatch 3296/3296, validation error 14.890710 %
epoch 218, minibatch 3296/3296, validation error 14.890710 %
